uri,followers,genres,name,popularity
spotify:artist:246dkjvS1zLTtiykXe5h60,18803942,"['dfw rap', 'melodic rap', 'pop', 'rap']",Post Malone,100
spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,16095747,"['latin', 'reggaeton']",J Balvin,97
spotify:artist:3TVXtAsR1Inumwj472S9r4,41655866,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake,97
spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,6916475,"['pop', 'pop rap', 'rap']",Travis Scott,96
spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,53162751,"['pop', 'uk pop']",Ed Sheeran,96
spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,19672883,"['puerto rican pop', 'reggaeton', 'trap latino']",Ozuna,96
spotify:artist:6LuN9FCkKOj5PcnpouEgny,8966722,['pop'],Khalid,95
spotify:artist:4q3ewBCX7sLwd24euuV69X,16055686,"['reggaeton', 'trap latino']",Bad Bunny,95
spotify:artist:2R21vXR83lH98kGeO99Y66,8642418,"['reggaeton flow', 'trap latino']",Anuel AA,94
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,37402513,"['dance pop', 'pop', 'post-teen pop']",Ariana Grande,94
spotify:artist:06HL4z0CvFAxyc27GXpf02,23921902,"['dance pop', 'pop', 'post-teen pop']",Taylor Swift,94
spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,15020695,"['electropop', 'pop']",Billie Eilish,94
spotify:artist:4VMYDCV2IEDYJArk749S6m,14258368,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",Daddy Yankee,93
spotify:artist:329e4yvIujISKGKz1BZZbO,6217257,"['latin', 'reggaeton', 'trap latino', 'tropical']",Farruko,93
spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,10569033,"['chicago rap', 'pop rap', 'rap']",Kanye West,93
spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,12647609,"['dance pop', 'pop', 'post-teen pop']",Camila Cabello,93
spotify:artist:50co4Is1HCEo8bhOyUWKpn,4495821,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",Young Thug,92
spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,21067992,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,92
spotify:artist:1SupJlEpv7RS2tPNRaHViT,10098285,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",Nicky Jam,92
spotify:artist:7bXgB6jMjp9ATFy66eO08Z,9739401,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Chris Brown,92
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,30401720,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",Eminem,92
spotify:artist:1uNFoZAHBGtllmzznpCI3s,30906425,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",Justin Bieber,92
spotify:artist:4kYSro6naA4h99UJvo89HB,9742431,"['pop', 'rap']",Cardi B,91
spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,14177911,"['k-pop', 'k-pop boy group']",BTS,91
spotify:artist:15UsOTVnJzReFVN1VCnxy4,15907935,"['emo rap', 'miami hip hop']",XXXTENTACION,91
spotify:artist:0hCNtLu0JehylgoiP8L4Gh,16379028,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",Nicki Minaj,90
spotify:artist:53XhwfbYqKCa1cC15pYq2q,22829806,"['modern rock', 'rock']",Imagine Dragons,90
spotify:artist:2wY79sveU1sp5g7SokKOiI,10232709,"['pop', 'uk pop']",Sam Smith,90
spotify:artist:04gDigrS5kc9YWfZHwBETP,20560210,['pop'],Maroon 5,90
spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,20732070,"['glam rock', 'rock']",Queen,90
spotify:artist:5f7VJjfbwm532GiveGC0ZK,2847310,"['atl hip hop', 'atl trap', 'rap', 'trap']",Lil Baby,90
spotify:artist:26VFTg2z8YR0cCuwLzESi2,8091693,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",Halsey,90
spotify:artist:1r4hJ1h58CWwUQe3MxPuau,17333420,['reggaeton'],Maluma,90
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,20192707,"['dance pop', 'edm', 'pop']",David Guetta,89
spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,2975250,"['hip hop', 'pop', 'pop rap', 'rap', 'trap']",Ty Dolla $ign,89
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,17433296,"['dance pop', 'pop', 'post-teen pop']",Selena Gomez,89
spotify:artist:7wlFDEWiM5OoIAt8RSli8b,3305992,"['baton rouge rap', 'trap']",YoungBoy Never Broke Again,89
spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,1456360,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",Gunna,89
spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,34583061,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Rihanna,89
spotify:artist:5LHRHt1k9lMyONurDHEdrp,5137943,"['hip hop', 'pop', 'pop rap', 'rap', 'trap']",Tyga,89
spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,9478410,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",J. Cole,89
spotify:artist:69GGBxA162lTqCwzJG5jLp,14245989,"['edm', 'electropop', 'pop', 'tropical house']",The Chainsmokers,89
spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,13930145,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",The Beatles,89
spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,13375770,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",Kendrick Lamar,89
spotify:artist:55Aa2cqylxrFIXC767Z865,8383897,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap']",Lil Wayne,89
spotify:artist:31W5EY0aAly4Qieq6OFu6I,3544591,"['melodic rap', 'rap', 'trap']",A Boogie Wit da Hoodie,89
spotify:artist:00FQb4jTyendYWaN8pK0wa,9231771,['pop'],Lana Del Rey,89
spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,17476633,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",The Weeknd,89
spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,8095616,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Future,88
spotify:artist:1pQWsZQehhS4wavwh7Fnxd,450773,"['reggaeton flow', 'trap argentino']",Lenny Tavárez,88
spotify:artist:64KEffDW9EtZ1y2vBYgq8T,17637082,"['brostep', 'pop', 'progressive electro house']",Marshmello,88
spotify:artist:6vWDO969PvNqNYHIOW5v0m,20598014,"['dance pop', 'pop', 'r&b']",Beyoncé,88
spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,1421971,"['pop', 'uk pop']",Lewis Capaldi,88
spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,1827377,"['dance pop', 'pop']",Lauv,88
spotify:artist:0du5cEVh5yTK9QJze8zA0C,22751410,['pop'],Bruno Mars,88
spotify:artist:56oDRnqbIiwx4mymNEv7dS,1420021,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",Lizzo,88
spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,22607892,"['permanent wave', 'pop']",Coldplay,88
