,pid
331555,140308
852072,370603
1385421,619271
1007988,441092
1779396,787495
1816962,803020
667562,289631
1039576,455039
1540560,686994
1864071,822347
1910111,842637
108466,46181
1764938,782336
1325489,590166
72724,31419
2139039,944846
1754506,776957
1091436,479873
860114,375109
1043417,456633
1110712,488183
1774866,785791
1959774,866072
2090098,924553
1590005,709443
2162828,955705
649021,281452
1176445,519337
511876,219731
1192907,526361
12870,5401
2165185,957184
1152695,506528
460520,195418
215555,90549
1274710,565320
1863436,822268
1107354,487067
312858,131949
1805012,798427
1745861,773657
621901,267962
2092694,925241
662271,287751
529606,227532
920597,401826
924315,403520
1913651,843877
822473,356564
1286469,571358
1548788,690982
344518,145987
487294,207928
803343,349027
2101589,928267
1825872,806713
222247,93560
930124,406709
1214266,537077
1588765,708833
140351,59221
870717,379941
384989,164164
2050583,907866
553722,237845
2157347,952615
2024659,896902
1686949,749910
1784460,789477
1520001,678928
228648,96203
1465710,654993
1311178,583563
71017,30608
1319742,586973
398380,169681
1541143,687126
600880,258464
866147,377518
1655647,737237
1755683,777366
288263,120935
1015527,444414
1307003,581365
934578,408777
2039114,903108
1314754,584806
218376,91675
405425,172512
1579297,704307
2089214,924237
1466793,655696
2245594,995908
1094801,480937
667046,289539
1161795,511855
1654396,736357
346680,146774
1760227,780148
980584,429811
1552014,692156
630143,272777
215297,90490
147616,62006
1322292,588444
1827650,807046
1000913,438565
810997,352390
1375330,614439
827870,359199
1499534,669634
129452,54548
1509750,675436
2042869,904456
93801,40195
116626,49512
575980,247400
844441,367127
1669353,742975
930837,406908
1006690,440405
1524636,680651
1090762,479713
1916949,845780
2248252,996887
1500,526
546199,234924
922887,402601
1770773,784370
730026,318145
2229758,987952
418107,178220
2082987,921905
1139518,501045
1637975,730048
228761,96240
88995,38033
1655931,737361
1004392,439583
1075677,472381
1819532,804062
349347,147743
1623484,723558
272322,113501
63798,27921
1839197,812128
417347,177820
1920826,847612
968542,425172
1898050,837782
2211500,979406
1054951,463098
754275,327830
2121765,937384
1007364,440768
1651321,735197
1788671,790818
622527,268311
616644,265110
2238169,991973
1555604,693529
48040,21355
1391623,621985
1565189,697967
877695,382481
1821896,804895
970629,426017
641968,277916
1022408,447392
347900,147072
183502,77822
2221742,984138
298702,125855
2086428,923002
401675,171001
1517073,677946
